subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
35000,2024-07-28,354043.2168,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
35000,2024-07-28,376850.96540000004,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
32000,2024-07-28,178955.2919291929,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
32000,2024-07-28,1268144.9756975695,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
32000,2024-07-28,557377.3627362737,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
32000,2024-07-28,489303.00750075007,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
32000,2024-07-28,478601.36213621363,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
36000,2024-07-28,1133463.9628925784,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
36000,2024-07-28,8308153.814362871,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
36000,2024-07-28,3895670.6151230247,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
36000,2024-07-28,2918816.526205241,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
36000,2024-07-28,3316214.0814162833,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
39000,2024-07-28,688833.9627,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
39000,2024-07-28,4712277.0071,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
39000,2024-07-28,2332244.9397,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
39000,2024-07-28,1881181.0757999998,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
39000,2024-07-28,2040860.0147000002,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
40000,2024-07-28,254037.99820017998,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
